exercise_name_en,exercise_type,body_part,equipment,level,description
Decline bar press sit-up,力量训练,Abdominals,杠铃,Intermediate,"The decline bar press sit-up is a weighted core exercise targeting the abdominal muscles, particularly the lower abs. It also challenges the shoulders and upper back to move the weight. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
Bench barbell roll-out,力量训练,Abdominals,杠铃,Beginner,"The bench barbell roll-out is a challenging exercise targeting the abdominals. It is similar to using an ab roller, but using a barbell allows for a wider grip. Placing the knees on a bench rather than the floor makes the move more difficult by increasing the challenge to the upper body."
Barbell Side Bend,力量训练,Abdominals,杠铃,Beginner,
Seated bar twist,力量训练,Abdominals,杠铃,Intermediate,"The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight, such as an empty barbell, a lightweight fixed-weight bar, or even a PVC pipe. It can be performed during a workout, at the end of a workout, or outside of the gym to build core strength and resiliency."
Single-arm landmine pull and press,力量训练,Abdominals,杠铃,Intermediate,"The single-arm landmine pull and press is an explosive rotational movement using a barbell anchored in a landmine device. It combines a pull off the floor with rotation and finishes with a press. It is usually performed for low reps per set with an emphasis on speed and form, not moving heavy weight."
Barbell Ab Roll Out - Gethin Variation,力量训练,Abdominals,杠铃,Intermediate,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
30 Barbell Floor Wiper,力量训练,Abdominals,杠铃,Intermediate,"The barbell floor wiper is a core exercise in which the barbell is held in the locked-out position of a floor press, and the hips and legs are rotated side to side. It targets the oblique muscles of the lateral abdomen, but is also seriously challenging to the deep core and rectus abdominis or ""six-pack"" muscles."
30 Barbell Roll-Out,力量训练,Abdominals,杠铃,Intermediate,"The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars, and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first, but once they can perform these for reps, they'll be rewarded with a seriously strong core."
Decline plate sit-up,力量训练,Abdominals,杠铃,Intermediate,"The decline plate sit-up is a weighted core exercise that works the rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
KV Barbell Hip Thrust,力量训练,Abdominals,杠铃,Intermediate,
Advanced Kettlebell Windmill,力量训练,Abdominals,壶铃,Beginner,
Kettlebell Windmill,力量训练,Abdominals,壶铃,Intermediate,"The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting, and shouldn't be performed under intense fatigue."
Kettlebell Pass Between The Legs,力量训练,Abdominals,壶铃,Beginner,
Kettlebell 3-point leg extension,力量训练,Abdominals,壶铃,Intermediate,"The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short, stationary object. It is similar in some ways to a V-up or reverse crunch, but targets both the obliques and the rectus abdominis or ""six-pack"" muscles. It can be performed for reps or for time, usually in dedicated ab training or as part of a kettlebell and bodyweight circuit workout."
Double Kettlebell Swing,力量训练,Abdominals,壶铃,Intermediate,
Burpee over kettlebell,力量训练,Abdominals,壶铃,Intermediate,"The burpee over kettlebell is a more advanced version of a popular conditioning exercise. If you're performing a circuit that already has both burpees and kettlebell movements, it's a simple way to provide a novel stimulus to the muscles of the lower body and create a more athletic style of training."
Kettlebell toe-touch,力量训练,Abdominals,壶铃,Intermediate,"The kettlebell toe-touch is a more difficult version of a highly popular abdominal movement usually done for high reps. The simple addition of a weight makes the toe-touch far more difficult, providing a different stimulus to the core during training."
Kettlebell swing,力量训练,Abdominals,壶铃,Intermediate,"The kettlebell swing is a popular lower-body exercise emphasizing the hamstrings, glutes, and back muscles. It is often used to train explosive power, for aerobic or cardiovascular conditioning, in circuit training, or as an accessory movement for the deadlift."
Two-way swing,力量训练,Abdominals,壶铃,Intermediate,"The two-way kettlebell swing is an exercise that alternates a chest-height kettlebell swing (sometimes called a ""Russian"" or ""hardstyle"" swing) with an overhead kettlebell swing (sometimes called an ""American"" swing). Both swing variations work many of the same muscles, such as the hamstrings, glutes, and core, but because the weight must travel farther in the overhead swing, it's slightly more metabolically demanding and works the upper back and shoulders more. This combo can be performed for time or reps and works especially well in circuit-style or full-body training. If you can't perform the overhead swing without lower back or shoulder pain, just perform the chest-height swing."
Kettlebell crab reach,力量训练,Abdominals,壶铃,Intermediate,"The kettlebell crab reach is a kettlebell pressing exercise in which the lifter presses a kettlebell overhead while in a modified single-arm bridge position. The simple addition of a weight makes the reach far more difficult, challenging the muscles of the back, shoulders, glutes, and core."
Taylor Single-Arm Kettlebell Swing,力量训练,Abdominals,壶铃,Intermediate,
Holman Kettlebell Up to Elbow Down,力量训练,Abdominals,壶铃,Intermediate,
FYR2 Double-Kettlebell Ski,力量训练,Abdominals,壶铃,Intermediate,
FYR2 Kettlebell Hike,力量训练,Abdominals,壶铃,Intermediate,
FYR2 Kettlebell Cross-Body Catch,力量训练,Abdominals,壶铃,Intermediate,
FYR2 Kettlebell Duck Walk,力量训练,Abdominals,壶铃,Intermediate,
FYR2 Kettlebell Get-Up Reach,力量训练,Abdominals,壶铃,Intermediate,
FYR2 Kettlebell Juggle,力量训练,Abdominals,壶铃,Intermediate,
FYR2 Squat-Clean-Alternating-Press Complex,力量训练,Abdominals,壶铃,Intermediate,
Dumbbell V-Sit Cross Jab,力量训练,Abdominals,哑铃,Intermediate,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
Dumbbell spell caster,力量训练,Abdominals,哑铃,Beginner,"The dumbbell spell caster is an exercise that primarily targets the abdominal muscles such as the obliques. However, it also works shoulders, back, hips, and legs, and demands all of those muscles work together in a coordinated motion. It is usually performed with relatively light weights for moderate to high reps, at least 8-12 reps per side. Make sure to only use a weight you can control."
Dumbbell side bend,力量训练,Abdominals,哑铃,Intermediate,"The dumbbell side bend is a popular exercise for targeting the oblique muscles of the abdomen. It is usually performed for relatively high reps, at least 8-12 reps per set or more. It can be performed one side at a time or alternating sides."
Dumbbell crunch,力量训练,Abdominals,哑铃,Intermediate,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Dumbbell Fix Dumbbell Sprawl,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell Fix Alternating Renegade Row,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell Fix Dumbbell Mountain Climber,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell Fix Dumbbell Russian Twist,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell Fix Dumbbell Pull-Over,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell Fix Dumbbell Sit-Up,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell Fix Dumbbell Front Squat,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell Fix Full Man Maker,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell T-hold,力量训练,Abdominals,哑铃,Intermediate,"The dumbbell T-hold is a static exercise that primarily targets the obliques, although it also works the shoulders and upper back. It involves holding a dumbbell in the air while in a side plank position. It is usually performed for timed holds, although it can be performed dynamically for reps as a plank with dumbbell rotation."
Dumbbell hollow-body floor press,力量训练,Abdominals,哑铃,Intermediate,The dumbbell hollow-body floor press combines upper-body strength and core work in one move.
Dumbbell crusher,力量训练,Abdominals,哑铃,Intermediate,"The dumbbell crusher is a dumbbell complex that combines a squat with a dumbbell curl, followed by a triceps press. It targets the legs, glutes, biceps, shoulders, and triceps in a single sequence, making it a great way to burn serious calories and hit a lot of muscles in a short period of time. The upper-body movements will determine the amount of weight you can effectively use."
Dumbbell Crunch - Gethin Variation,力量训练,Abdominals,哑铃,Intermediate,"The dumbbell crunch is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the crunch far more difficult, providing a different stimulus to the core during training."
Single-arm dumbbell crunch,力量训练,Abdominals,哑铃,Intermediate,"The single-arm dumbbell crunch is a more difficult version of a highly popular abdominal movement. Adding a weight to one side makes the crunch far more difficult to your rectus abdominis or ""six-pack"" muscles, as well as the obliques and deep core muscles."
HM Alternating Dumbbell Plank Row,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell straight-legged hip raise,力量训练,Abdominals,哑铃,Intermediate,The dumbbell straight-legged hip raise works the hips and glutes. It requires and teaches body control and coordination.
Seated leg tuck with dumbbell,力量训练,Abdominals,哑铃,Intermediate,The seated leg tuck with dumbbell is an ab exercise requiring only a bench and a dumbbell. It's commonly performed for high reps as a burnout at the end of a core workout.
Dumbbell V-sit cross jab-,力量训练,Abdominals,哑铃,Intermediate,"The dumbbell V-sit cross jab is a hybrid movement that trains the abdominal and shoulder muscles simultaneously. It can address multiple muscle groups in a time-efficient muscle-building or circuit-style workout, while also providing a cardiovascular challenge."
30 Hanging Leg Raise With Dumbbell,力量训练,Abdominals,哑铃,Intermediate,
Dumbbell Get-Up Sit-Up,力量训练,Abdominals,哑铃,Expert,
Holman Right Side Plank with Left Triceps Press,力量训练,Abdominals,哑铃,Intermediate,
Holman Left Side Plank with Right Triceps Press,力量训练,Abdominals,哑铃,Intermediate,
Holman Boat with Feet Push-Out and Overhead Press,力量训练,Abdominals,哑铃,Intermediate,
Holman Hovering Plank Row,力量训练,Abdominals,哑铃,Intermediate,
Holman Weighted Seated Killer Abs to Russian Twist,力量训练,Abdominals,哑铃,Intermediate,
Holman Straight Plank Dumbbell Reach-Under,力量训练,Abdominals,哑铃,Intermediate,
Holman Straight-Arm Side Plank Overhead Press to Chest Press,力量训练,Abdominals,哑铃,Intermediate,
Holman Weighted Burpee to Pike,力量训练,Abdominals,哑铃,Intermediate,
Holman Straight-Legged Boat Chest Press,力量训练,Abdominals,哑铃,Intermediate,
Holman Weighted Burpee to Side Delt Raise,力量训练,Abdominals,哑铃,Intermediate,
Holman Heavy Double Pike,力量训练,Abdominals,哑铃,Intermediate,
Holman Heavy Double Split Pike,力量训练,Abdominals,哑铃,Intermediate,
MetaBurn Alternating Dumbbell Sit-Through,力量训练,Abdominals,哑铃,Intermediate,
MetaBurn Alternating Plank Row With Dumbbell Pull-Through,力量训练,Abdominals,哑铃,Intermediate,
MetaBurn Alternating Plank Row With Push-Up,力量训练,Abdominals,哑铃,Intermediate,
MetaBurn Dumbbell Russian Twist,力量训练,Abdominals,哑铃,Intermediate,
MetaBurn Dumbbell Toe-Touch,力量训练,Abdominals,哑铃,Intermediate,
MetaBurn Plank To Alternating Row,力量训练,Abdominals,哑铃,Intermediate,
Standing dumbbell knee crunch-,力量训练,Abdominals,哑铃,Intermediate,"The standing dumbbell knee crunch is a great way to train the abs while standing up. Additionally, the deltoids are worked because the lifter holds a pair of dumbbells overhead throughout."
MetaBurn Plank With Dumbbell Rotation,力量训练,Abdominals,哑铃,Intermediate,
FYR2 Dumbbell Crab Reach,力量训练,Abdominals,哑铃,Intermediate,
FYR2 Dumbbell Man-Maker,力量训练,Abdominals,哑铃,Intermediate,
FYR2 Dumbbell Sit-Up Reach,力量训练,Abdominals,哑铃,Intermediate,
FYR2 Loaded Beast Sprawl,力量训练,Abdominals,哑铃,Intermediate,
FYR2 Loaded to Unloaded Beast,力量训练,Abdominals,哑铃,Intermediate,
Lying Leg Pullover,力量训练,Abdominals,哑铃,Intermediate,
Landmine twist,力量训练,Abdominals,其他,Intermediate,"The landmine twist is a rotational abdominal movement performed using an angled barbell anchored at floor level in a landmine device. It can also be performed by sticking a barbell in the corner of a room, preferably in a towel to protect the walls. It targets the deep muscles of the core, including both the obliques and the transversus abdominis. It can be done fast or slow, for time or reps, either in traditional muscle-focused rep ranges such as 8-12 reps per side or for higher rep ranges."
Suspended ab fall-out,力量训练,Abdominals,其他,Intermediate,"The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller, but can more easily be scaled to be more or less difficult. It targets the muscles of the rectus abdominis or ""six-pack"" muscles, as well as the deep core muscles. It can be trained for low reps for strength or higher reps for muscle definition."
Decline reverse crunch,力量训练,Abdominals,其他,Intermediate,"The decline reverse crunch is a popular bodyweight exercise targeting the abdominal muscles, particularly the lower abs. It is usually performed for high reps, such as 10-15 reps per set or more, as part of the ab-focused portion of a workout."
Plate Twist,力量训练,Abdominals,其他,Beginner,
Weighted Crunches,力量训练,Abdominals,其他,Intermediate,"The weighted suitcase crunch is a weighted version of a popular abdominal training exercise. The simple addition of a weight makes the suitcase crunch far more difficult, helping build the ""six pack"" muscles and providing a different stimulus to the core during training."
Ab Roller,力量训练,Abdominals,其他,Intermediate,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks."
Otis-Up,力量训练,Abdominals,其他,Intermediate,"The Otis-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominus or “six-pack” muscles, but also involves the obliques and deep core muscles. It is normally performed on a decline bench holding a weight plate, but can also be performed with a dumbbell, kettlebell, or other weight."
Captain's chair knee raise,力量训练,Abdominals,其他,Intermediate,"The captain's chair knee raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Knee raises are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training."
Sledgehammer swing,爆发力训练,Abdominals,其他,Intermediate,The sledgehammer swing is an exercise working the abdominals and numerous other muscles. The sledgehammer is slammed from overhead onto a tire which absorbs the impact and causes the hammer to bounce back up. It can be performed for time or reps as part of a functional fitness or athleticism-focused workout.
Pallof press,力量训练,Abdominals,其他,Intermediate,"The Pallof press is an isometric exercise that trains core stability. It involves resisting rotation from a cable or band, developing what is sometimes called ""anti-rotation"" core strength. It is most often seen in programs for athletes who compete in sports that test strength, power, and functional movements. It can be trained in timed holds or for reps by pressing the cable or band away from the body."
Weighted Sit-Ups - With Bands,力量训练,Abdominals,其他,Intermediate,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
Suitcase crunch,力量训练,Abdominals,其他,Intermediate,"The suitcase crunch is a bodyweight movement that targets the muscles of the abs, the rectus abdominis or ""six-pack"" muscles in particular. It is similar to a V-up, but the lower back stays flat against the ground. It can be performed for time or reps in the ab-focused portion of any workout."
FYR Rope Jumping,力量训练,Abdominals,其他,Intermediate,"Jumping rope is classic conditioning exercise that is popular with everyone from children to boxers to CrossFit athletes. It targets many different muscles, including the calves, glutes, shoulders, and upper back, and is great for everything from fat loss to improving overall athletic performance."
Barbell press sit-up,力量训练,Abdominals,其他,Intermediate,"The barbell press sit-up is a weighted exercise focusing on the abdominal muscles, as well as the shoulders to a lesser degree. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also involves the obliques and deep core muscles. It can be performed on the floor with the feet anchored or unanchored, or on a decline or other bench. It is similar to the Otis-up, which is performed with a weight plate."
Single-arm bent-over rear delt fly,力量训练,Abdominals,其他,Intermediate,"The single-arm bent-over rear delt fly is a popular upper-body exercise that targets the muscles on the back of the shoulder joint, specifically the rear head of the deltoid. Since pressing movements build the front and (to a lesser degree) side deltoid heads, this move is often done to promote balanced shoulder development. It is usually performed for high reps, such as 10-15 reps per set or more, as part of a shoulder or upper-body workout."
Captain's chair leg raise,力量训练,Abdominals,其他,Intermediate,"The captain's chair leg raise is a bodyweight exercise that targets the abs. It is performed on an apparatus that allows the forearms to rest on pads and the upright torso to hang freely. Leg raise variations are often performed for moderate to high reps, such as 8-12 reps or more, as part of ab-focused training."
Shoulder-Elevated One-Leg Hip Thrusts,力量训练,Abdominals,其他,Intermediate,
Ab Twist - Gethin Variation,力量训练,Abdominals,其他,Intermediate,"The cross-body sit-up is a bodyweight exercise targeting the ab muscles, the obliques and rectus abdominis or ""six-pack"" muscles in particular. It involves bringing the opposite-side knee and elbow together, usually alternating sides with each rep. It can be performed for time or reps as part of the ab-focused portion of any workout."
Weighted Crunch - Gethin Variation,力量训练,Abdominals,其他,Intermediate,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
Ab Wheel Roll-Out - Gethin Variation,力量训练,Abdominals,其他,Intermediate,"The ab wheel roll-out is an exercise targeting the abdominals, often with an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of, if no the best exercise for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks."
Bench crunch,力量训练,Abdominals,其他,Intermediate,"The bench crunch is a popular ab exercise performed lying on a bench. It is largely similar to the same exercise performed on the floor, but being able to press the lower back into the bench pad can help reinforce proper form and increase the burn in the abs. Like most crunch variations, it is usually performed for moderate to high reps, such as 8-12 reps per set or more."
Decline plate sit-up twist,力量训练,Abdominals,其他,Intermediate,"The decline plate sit-up twist is a weighted core exercise that works the obliques and rectus abdominis or ""six pack"" muscles, as well as the deep core muscles. Weighted sit-up variations are usually performed for moderate to high reps, such as 8-12 reps per set or more, as part of the core-focused portion of a workout."
Reverse ab roll-out,力量训练,Abdominals,其他,Intermediate,"The reverse ab roll-out is an exercise targeting the abdominals. It's a twist on the ab wheel roll-out, and is similar to a body saw exercise, only performed on a foam roller. Instead of your arms moving and your lower body remaining stationary, your lower body moves and your arms remain stationary. Beginners may need to use a limited range of motion."
30 Seated Twist With PVC Pipe,力量训练,Abdominals,其他,Intermediate,The seated bar twist is a core exercise aiming to strengthen the obliques.
Suspended crunch-,力量训练,Abdominals,其他,Intermediate,"The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the rectus abdominis or ""six-pack"" muscles, but also taxes the shoulders and deep core muscles."
Suspended oblique crunch,力量训练,Abdominals,其他,Intermediate,"The suspended oblique crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core, most prominently the obliques, but also the rectus abdominis or ""six-pack"" muscles, the shoulders, and deep core muscles."
Weighted sit-up,力量训练,Abdominals,其他,Intermediate,"The weighted sit-up is a more difficult version of a highly popular abdominal movement. The simple addition of a weight makes the sit-up far more difficult, providing a different stimulus to the core during training and helping build strong abs."
30 Decline Press Sit-Up,力量训练,Abdominals,其他,Intermediate,The decline bar press sit-up is a core and upper body exercise targeting the lower abdominals and shoulders.
Holman Towel Reverse Plank Alternating Heel Pull-in,力量训练,Abdominals,其他,Intermediate,
Holman Boat with Weighted Cross Punch,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Hook Punch,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Traveling Punch,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Uppercut Punch,力量训练,Abdominals,其他,Intermediate,
Holman Slow Weighted Double Pike,力量训练,Abdominals,其他,Intermediate,
Holman Plate Straight Plank Reach,力量训练,Abdominals,其他,Intermediate,
Holman Plate Elbow Plank Jack to Straight Plank Jack,力量训练,Abdominals,其他,Intermediate,
Holman Plate Hill Climber,力量训练,Abdominals,其他,Intermediate,
Holman Plate Reverse Plank Hill Climber,力量训练,Abdominals,其他,Intermediate,
Holman Plate Straight Plank Pike to Jack,力量训练,Abdominals,其他,Intermediate,
Holman Plate In-and-Out Push-Up,力量训练,Abdominals,其他,Intermediate,
Holman Plate Burpee,力量训练,Abdominals,其他,Intermediate,
Holman Plate Elbow Plank Reach,力量训练,Abdominals,其他,Intermediate,
Holman Elbow Plank to Renegade Row,力量训练,Abdominals,其他,Intermediate,
Holman Straight Plank Weighted Hand Hill Climber,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Left Side Diagonal Pike,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Right Side Diagonal Pike,力量训练,Abdominals,其他,Intermediate,
Holman Weighted W-Boat to Overhead Press,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Kneeling Lift,力量训练,Abdominals,其他,Intermediate,
Holman Hips-Up Weighted Pull-Over,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Cross Punch,力量训练,Abdominals,其他,Intermediate,
Holman Straight-Leg Boat Hover Chest Press,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Pike,力量训练,Abdominals,其他,Intermediate,
Holman Feet-Elevated Wax-On Wax-Off,力量训练,Abdominals,其他,Intermediate,
Holman Elbow Plank to Towel Pike,力量训练,Abdominals,其他,Intermediate,
Holman Seated Killer Abs Overhead Press,力量训练,Abdominals,其他,Intermediate,
Holman Straight Plank Alternating Weighted Open,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Killer Abs with Overhead Press,力量训练,Abdominals,其他,Intermediate,
Holman Weighted Split-Leg Pike,力量训练,Abdominals,其他,Intermediate,
Holman Towel Reverse Plank Heel Pull-in,力量训练,Abdominals,其他,Intermediate,
Stick Twist,力量训练,Abdominals,其他,Intermediate,
Roc Everest,有氧运动,Abdominals,其他,Intermediate,
Standing cable low-to-high twist,力量训练,Abdominals,拉力器,Intermediate,"The standing cable low-to-high twist is a core exercise targeting the upper abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
Single-arm high-cable side bend,力量训练,Abdominals,拉力器,Intermediate,The single-arm high-cable side bend is an exercise targeting the obliques using a cable stack machine.
Kneeling cable oblique crunch,力量训练,Abdominals,拉力器,Intermediate,"The kneeling cable oblique crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the obliques and rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed for moderate to high reps, such as 8-12 reps per set or higher."
Kneeling cable crunch,力量训练,Abdominals,拉力器,Intermediate,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher."
Rope Crunch,力量训练,Abdominals,拉力器,Intermediate,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
Standing cable crunch,力量训练,Abdominals,拉力器,Intermediate,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominis or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps, such as 8-12 reps per set or higher."
Bosu Ball Cable Crunch With Side Bends,力量训练,Abdominals,拉力器,Beginner,
Standing Cable Wood Chop,力量训练,Abdominals,拉力器,Intermediate,The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques.
Cable reverse crunch,力量训练,Abdominals,拉力器,Beginner,"The cable reverse crunch is performed on the ground facing away from a high pulley, which helps target the lower abdominals specifically."
Cable Russian Twists,力量训练,Abdominals,拉力器,Beginner,
Pallof press with rotation,力量训练,Abdominals,拉力器,Intermediate,The Pallof press with rotation is a dynamic variation of the Pallof press that incorporates weighted rotation away from the torso using resistance from a cable pulley. It is intended to build abdominal strength and teach proper bracing. It can be performed for time or for reps in the core-focused portion of any workout.
Cable Seated Crunch,力量训练,Abdominals,拉力器,Beginner,
Cable Judo Flip,力量训练,Abdominals,拉力器,Beginner,
Exercise Ball Cable Crunch - Gethin Variation,力量训练,Abdominals,拉力器,Intermediate,"The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench, by using a ball, you can increase the range of motion and both stretch and contract the abs on every rep. The ball crunch can be performed for low reps with a slower tempo, focusing on a hard contraction, or for higher reps."
Standing cable high-to-low twist,力量训练,Abdominals,拉力器,Intermediate,"The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control, as opposed to violent twisting which can injure the back. It is usually performed for moderate to high reps, at least 8-15 per side, as part of the core-focused portion of a workout."
Bent-Over Reverse Cable Fly,力量训练,Abdominals,拉力器,Intermediate,
Standing Cable Crunch - Gethin Variation,力量训练,Abdominals,拉力器,Intermediate,"The standing cable crunch is a popular core isolation exercise using a rope attachment. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
AM Cable Crunch,力量训练,Abdominals,拉力器,Intermediate,"The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or ""six-pack"" muscles, but also strengthens the deep core muscles. It is most commonly performed early in an ab workout, usually in moderate to high reps like 8-12 reps per set or higher."
Tyler Holt Weighted Knee-To-Chest Crunch,力量训练,Abdominals,拉力器,Intermediate,
