record_id,user_id,exercise_type,exercise_date,duration_minutes,calories_burned,average_heart_rate,max_heart_rate,equipment_used,created_at
93,2,爬楼机,2025-10-25,69,696.4,141,162,龙门架,2025-10-25T09:32:47.554088
94,2,划船机,2025-11-12,117,1097.9,145,166,拳击沙袋,2025-11-12T09:32:47.554088
95,2,爬楼机,2026-01-19,32,360.9,111,131,划船机,2026-01-19T09:32:47.554088
96,2,跑步,2025-09-10,47,492.3,145,168,龙门架,2025-09-10T09:32:47.554088
97,2,力量训练,2025-10-14,82,594.6,127,138,拳击沙袋,2025-10-14T09:32:47.554088
98,2,瑜伽,2026-01-03,20,83.5,137,153,史密斯机,2026-01-03T09:32:47.554088
99,2,普拉提,2025-07-15,64,320.9,114,138,划船机,2025-07-15T09:32:47.554088
100,2,动感单车,2025-07-25,61,737.5,131,160,史密斯机,2025-07-25T09:32:47.554088
101,2,拳击,2025-10-31,102,1323.8,117,145,龙门架,2025-10-31T09:32:47.554088
102,2,瑜伽,2025-10-27,50,218.8,146,169,龙门架,2025-10-27T09:32:47.554088
103,2,划船机,2025-11-09,50,510.5,110,139,龙门架,2025-11-09T09:32:47.554088
104,2,拳击,2025-11-26,43,614.5,129,151,拳击沙袋,2025-11-26T09:32:47.554088
105,2,力量训练,2025-08-17,33,253.8,140,167,拳击沙袋,2025-08-17T09:32:47.554088
106,2,动感单车,2025-11-15,46,560.7,110,137,龙门架,2025-11-15T09:32:47.554088
107,2,力量训练,2025-12-11,47,350.1,145,160,动感单车,2025-12-11T09:32:47.554088
108,2,椭圆机,2025-11-14,91,864.7,117,145,椭圆机,2025-11-14T09:32:47.554088
109,2,爬楼机,2025-11-18,111,1183.1,149,165,椭圆机,2025-11-18T09:32:47.554088
110,2,力量训练,2025-11-13,73,569.7,150,161,龙门架,2025-11-13T09:32:47.554088
111,2,跑步,2025-07-02,55,513.0,129,145,龙门架,2025-07-02T09:32:47.554088
112,2,划船机,2025-11-30,104,1115.4,145,157,瑜伽垫,2025-11-30T09:32:47.554088
113,2,划船机,2025-08-07,20,182.5,148,158,龙门架,2025-08-07T09:32:47.554088
114,2,跑步,2025-09-08,76,722.2,122,136,杠铃,2025-09-08T09:32:47.554088
115,2,拳击,2025-08-05,58,814.5,144,154,哑铃,2025-08-05T09:32:47.554088
116,3,拳击,2026-01-16,23,304.8,120,140,椭圆机,2026-01-16T09:32:47.554268
117,3,椭圆机,2025-12-19,79,698.3,123,142,杠铃,2025-12-19T09:32:47.554268
118,3,普拉提,2026-01-05,44,241.0,123,137,划船机,2026-01-05T09:32:47.554268
119,3,划船机,2026-01-14,83,803.2,116,146,史密斯机,2026-01-14T09:32:47.554268
120,3,普拉提,2025-12-26,23,125.8,118,136,椭圆机,2025-12-26T09:32:47.554268
121,3,普拉提,2026-01-16,113,537.4,145,171,动感单车,2026-01-16T09:32:47.554268
122,3,动感单车,2025-12-23,100,1099.6,116,138,瑜伽垫,2025-12-23T09:32:47.554268
123,3,拳击,2025-12-31,69,901.0,131,161,杠铃,2025-12-31T09:32:47.554268
124,3,普拉提,2026-01-19,68,321.5,126,137,动感单车,2026-01-19T09:32:47.554268
125,3,爬楼机,2026-01-06,90,951.5,146,157,划船机,2026-01-06T09:32:47.554268
126,3,游泳,2025-12-12,57,626.0,119,140,椭圆机,2025-12-12T09:32:47.554268
127,3,瑜伽,2025-12-08,22,85.0,136,151,拳击沙袋,2025-12-08T09:32:47.554268
128,3,划船机,2025-12-19,34,309.8,135,158,哑铃,2025-12-19T09:32:47.554268
129,3,普拉提,2025-12-15,50,265.3,149,161,拳击沙袋,2025-12-15T09:32:47.554268
130,3,动感单车,2025-12-09,93,1138.6,132,159,史密斯机,2025-12-09T09:32:47.554268
131,3,普拉提,2025-12-21,30,144.3,145,163,动感单车,2025-12-21T09:32:47.554268
132,3,游泳,2026-01-13,94,1070.9,142,163,动感单车,2026-01-13T09:32:47.554268
133,3,椭圆机,2026-01-14,38,332.6,137,147,史密斯机,2026-01-14T09:32:47.554268
134,3,普拉提,2025-12-12,40,217.8,140,159,划船机,2025-12-12T09:32:47.554268
135,3,划船机,2025-12-10,80,765.4,143,163,哑铃,2025-12-10T09:32:47.554268
136,3,划船机,2025-12-24,71,772.4,149,166,椭圆机,2025-12-24T09:32:47.554268
137,3,跑步,2025-12-11,52,510.0,117,135,瑜伽垫,2025-12-11T09:32:47.554268
138,3,拳击,2026-01-01,22,311.7,121,148,动感单车,2026-01-01T09:32:47.554268
139,3,动感单车,2026-01-08,37,471.0,111,127,龙门架,2026-01-08T09:32:47.554268
140,3,跑步,2025-12-24,73,667.1,130,159,拳击沙袋,2025-12-24T09:32:47.554268
141,3,力量训练,2026-01-14,87,653.6,124,151,瑜伽垫,2026-01-14T09:32:47.554268
142,3,力量训练,2025-12-13,76,633.1,148,159,瑜伽垫,2025-12-13T09:32:47.554268
143,3,爬楼机,2025-12-17,77,850.4,137,160,跑步机,2025-12-17T09:32:47.554268
144,3,椭圆机,2026-01-17,66,535.5,110,139,哑铃,2026-01-17T09:32:47.554268
145,3,力量训练,2025-12-23,80,691.5,125,135,动感单车,2025-12-23T09:32:47.554268
146,3,划船机,2025-12-13,82,779.4,117,146,杠铃,2025-12-13T09:32:47.554268
147,3,划船机,2025-12-14,77,844.1,129,156,瑜伽垫,2025-12-14T09:32:47.554268
148,3,游泳,2025-12-18,53,629.0,131,154,瑜伽垫,2025-12-18T09:32:47.554268
149,3,跑步,2026-01-06,47,449.3,150,177,哑铃,2026-01-06T09:32:47.554268
150,3,椭圆机,2026-01-19,81,753.0,149,177,跑步机,2026-01-19T09:32:47.554268
151,3,瑜伽,2026-01-19,70,301.8,114,144,划船机,2026-01-19T09:32:47.554268
152,3,爬楼机,2026-01-15,26,283.2,124,148,椭圆机,2026-01-15T09:32:47.554268
153,3,游泳,2025-12-10,38,383.3,121,145,椭圆机,2025-12-10T09:32:47.554268
154,3,爬楼机,2026-01-13,59,610.7,140,162,动感单车,2026-01-13T09:32:47.554268
155,3,跑步,2026-01-19,96,915.1,144,166,龙门架,2026-01-19T09:32:47.554268
156,3,动感单车,2025-12-18,84,946.0,111,125,哑铃,2025-12-18T09:32:47.554268
157,3,椭圆机,2025-12-28,113,1033.3,130,154,椭圆机,2025-12-28T09:32:47.554268
158,3,动感单车,2026-01-18,44,575.0,139,167,杠铃,2026-01-18T09:32:47.554268
159,3,动感单车,2026-01-10,46,543.6,148,173,龙门架,2026-01-10T09:32:47.554268
160,3,爬楼机,2026-01-15,35,407.5,138,154,史密斯机,2026-01-15T09:32:47.554268
161,3,游泳,2025-12-10,43,497.4,111,135,跑步机,2025-12-10T09:32:47.554268
162,3,动感单车,2025-12-26,104,1354.4,121,146,瑜伽垫,2025-12-26T09:32:47.554268
163,3,游泳,2026-01-05,30,357.3,121,135,拳击沙袋,2026-01-05T09:32:47.554268
164,3,拳击,2026-01-05,97,1334.9,135,155,杠铃,2026-01-05T09:32:47.554268
165,3,椭圆机,2025-12-19,20,179.4,133,147,划船机,2025-12-19T09:32:47.554268
166,3,力量训练,2025-12-21,55,466.1,150,176,龙门架,2025-12-21T09:32:47.554268
167,3,拳击,2026-01-12,111,1482.3,141,151,拳击沙袋,2026-01-12T09:32:47.554268
168,3,椭圆机,2025-12-14,55,476.8,134,160,史密斯机,2025-12-14T09:32:47.554268
169,4,划船机,2025-08-31,61,564.5,115,142,椭圆机,2025-08-31T09:32:47.554440
170,4,拳击,2025-09-01,89,1216.0,144,154,瑜伽垫,2025-09-01T09:32:47.554440
171,4,瑜伽,2025-09-10,75,323.6,147,169,史密斯机,2025-09-10T09:32:47.554440
172,4,跑步,2025-10-01,74,686.5,143,169,杠铃,2025-10-01T09:32:47.554440
173,4,瑜伽,2025-12-28,51,215.8,141,169,跑步机,2025-12-28T09:32:47.554440
174,4,跑步,2026-01-15,114,1048.5,144,170,哑铃,2026-01-15T09:32:47.554440
175,4,普拉提,2025-10-18,81,434.9,147,163,史密斯机,2025-10-18T09:32:47.554440
176,4,瑜伽,2025-07-28,82,350.6,111,122,杠铃,2025-07-28T09:32:47.554440
177,4,拳击,2025-11-28,92,1110.1,129,140,龙门架,2025-11-28T09:32:47.554440
178,4,瑜伽,2026-01-19,30,112.7,121,149,椭圆机,2026-01-19T09:32:47.554440
179,4,力量训练,2025-07-16,76,634.0,116,128,椭圆机,2025-07-16T09:32:47.554440
180,4,瑜伽,2025-10-06,59,254.1,138,157,动感单车,2025-10-06T09:32:47.554440
181,4,游泳,2025-10-02,34,384.1,115,139,划船机,2025-10-02T09:32:47.554440
182,4,拳击,2025-11-01,86,1169.4,113,133,哑铃,2025-11-01T09:32:47.554440
183,4,普拉提,2026-01-09,36,196.1,113,130,龙门架,2026-01-09T09:32:47.554440
184,4,拳击,2025-12-11,62,876.5,119,131,龙门架,2025-12-11T09:32:47.554440
185,4,动感单车,2025-08-25,71,867.1,143,160,瑜伽垫,2025-08-25T09:32:47.554440
186,4,瑜伽,2025-08-08,84,335.7,124,135,拳击沙袋,2025-08-08T09:32:47.554440
187,4,动感单车,2025-08-12,63,764.0,141,152,杠铃,2025-08-12T09:32:47.554440
188,4,游泳,2025-10-03,118,1279.7,118,140,杠铃,2025-10-03T09:32:47.554440
189,4,爬楼机,2025-08-24,78,936.4,118,144,龙门架,2025-08-24T09:32:47.554440
190,4,跑步,2025-08-13,82,876.7,121,144,动感单车,2025-08-13T09:32:47.554440
191,4,椭圆机,2025-12-20,54,502.1,137,151,哑铃,2025-12-20T09:32:47.554440
192,4,爬楼机,2026-01-05,35,419.7,128,156,史密斯机,2026-01-05T09:32:47.554440
193,4,动感单车,2025-09-22,67,881.5,135,145,跑步机,2025-09-22T09:32:47.554440
194,4,跑步,2025-10-24,97,969.3,133,150,跑步机,2025-10-24T09:32:47.554440
195,4,拳击,2025-08-29,106,1345.7,146,173,瑜伽垫,2025-08-29T09:32:47.554440
196,4,划船机,2025-08-26,64,581.4,127,145,动感单车,2025-08-26T09:32:47.554440
197,4,动感单车,2025-11-20,106,1218.5,110,135,史密斯机,2025-11-20T09:32:47.554440
198,4,动感单车,2025-12-08,26,290.9,120,136,龙门架,2025-12-08T09:32:47.554440
199,4,力量训练,2025-11-06,50,384.3,111,124,哑铃,2025-11-06T09:32:47.554440
200,4,拳击,2025-11-02,28,362.9,133,151,瑜伽垫,2025-11-02T09:32:47.554440
201,4,游泳,2025-08-24,31,316.8,110,124,龙门架,2025-08-24T09:32:47.554440
202,4,力量训练,2025-12-25,72,592.5,144,160,椭圆机,2025-12-25T09:32:47.554440
203,4,游泳,2025-08-25,21,247.0,143,170,史密斯机,2025-08-25T09:32:47.554440
204,4,动感单车,2025-12-07,81,1047.0,119,145,瑜伽垫,2025-12-07T09:32:47.554440
205,4,游泳,2025-11-11,111,1342.7,137,147,跑步机,2025-11-11T09:32:47.554440
206,4,游泳,2025-09-13,117,1270.0,136,154,杠铃,2025-09-13T09:32:47.554440
207,4,椭圆机,2025-08-10,91,793.3,132,155,拳击沙袋,2025-08-10T09:32:47.554440
208,4,普拉提,2025-11-21,39,186.1,138,152,龙门架,2025-11-21T09:32:47.554440
209,4,动感单车,2025-07-28,35,396.7,116,127,拳击沙袋,2025-07-28T09:32:47.554440
210,4,椭圆机,2025-08-23,43,351.5,114,132,跑步机,2025-08-23T09:32:47.554440
211,4,拳击,2026-01-05,115,1403.1,147,176,杠铃,2026-01-05T09:32:47.554440
212,4,椭圆机,2025-11-19,59,569.1,139,157,龙门架,2025-11-19T09:32:47.554440
213,4,划船机,2025-12-08,93,994.3,113,126,瑜伽垫,2025-12-08T09:32:47.554440
214,4,椭圆机,2025-12-21,42,370.0,138,162,史密斯机,2025-12-21T09:32:47.554440
215,4,瑜伽,2025-08-31,71,310.4,111,137,跑步机,2025-08-31T09:32:47.554440
216,4,瑜伽,2025-11-21,20,78.3,113,143,动感单车,2025-11-21T09:32:47.554440
217,4,游泳,2025-07-30,40,422.2,124,138,哑铃,2025-07-30T09:32:47.554440
218,4,爬楼机,2025-12-07,74,797.5,146,162,动感单车,2025-12-07T09:32:47.554440
219,4,跑步,2025-08-17,95,907.3,141,165,跑步机,2025-08-17T09:32:47.554440
220,4,拳击,2025-08-06,107,1295.6,122,142,史密斯机,2025-08-06T09:32:47.554440
221,4,动感单车,2025-11-07,45,516.0,111,132,龙门架,2025-11-07T09:32:47.554440
222,4,普拉提,2025-08-17,103,478.2,140,155,划船机,2025-08-17T09:32:47.554440
223,4,动感单车,2025-10-31,63,730.1,129,145,椭圆机,2025-10-31T09:32:47.554440
224,5,拳击,2025-05-28,89,1119.5,112,123,拳击沙袋,2025-05-28T09:32:47.554609
225,5,划船机,2025-08-10,93,914.9,140,160,杠铃,2025-08-10T09:32:47.554609
226,5,椭圆机,2025-07-12,119,1063.8,144,168,哑铃,2025-07-12T09:32:47.554609
227,5,普拉提,2025-08-25,92,475.4,147,171,划船机,2025-08-25T09:32:47.554609
228,5,跑步,2025-05-27,97,962.6,112,138,动感单车,2025-05-27T09:32:47.554609
229,5,力量训练,2025-12-15,105,812.2,125,151,龙门架,2025-12-15T09:32:47.554609
230,5,瑜伽,2025-11-28,104,435.6,125,147,史密斯机,2025-11-28T09:32:47.554609
231,5,跑步,2025-10-29,64,622.0,112,122,动感单车,2025-10-29T09:32:47.554609
232,5,划船机,2026-01-15,57,607.2,148,178,椭圆机,2026-01-15T09:32:47.554609
233,5,拳击,2026-01-11,43,552.9,129,148,龙门架,2026-01-11T09:32:47.554609
234,5,跑步,2025-10-04,60,611.3,128,152,拳击沙袋,2025-10-04T09:32:47.554609
235,5,椭圆机,2026-01-01,112,931.5,150,164,椭圆机,2026-01-01T09:32:47.554609
236,5,划船机,2025-06-01,75,780.9,112,122,杠铃,2025-06-01T09:32:47.554609
237,5,跑步,2025-11-27,35,365.0,111,121,拳击沙袋,2025-11-27T09:32:47.554609
238,5,力量训练,2025-07-12,39,295.2,129,154,瑜伽垫,2025-07-12T09:32:47.554609
239,5,瑜伽,2025-07-08,56,219.6,126,153,龙门架,2025-07-08T09:32:47.554609
240,5,拳击,2025-06-23,98,1186.2,123,142,哑铃,2025-06-23T09:32:47.554609
241,5,普拉提,2025-08-24,114,591.9,146,160,拳击沙袋,2025-08-24T09:32:47.554609
242,5,瑜伽,2025-06-19,101,381.7,123,148,杠铃,2025-06-19T09:32:47.554609
243,5,跑步,2025-06-26,87,813.5,137,161,椭圆机,2025-06-26T09:32:47.554609
244,5,游泳,2025-11-13,61,723.0,118,140,椭圆机,2025-11-13T09:32:47.554609
245,5,游泳,2025-07-28,65,733.1,114,127,史密斯机,2025-07-28T09:32:47.554609
246,5,爬楼机,2025-11-16,30,320.8,113,125,杠铃,2025-11-16T09:32:47.554609
247,5,椭圆机,2025-06-03,110,976.0,110,138,椭圆机,2025-06-03T09:32:47.554609
248,5,游泳,2025-09-12,86,879.6,114,134,瑜伽垫,2025-09-12T09:32:47.554609
249,5,爬楼机,2025-10-29,83,893.9,140,158,瑜伽垫,2025-10-29T09:32:47.554609
250,5,瑜伽,2025-08-13,76,275.6,135,163,动感单车,2025-08-13T09:32:47.554609
251,5,划船机,2025-09-07,29,283.8,135,152,史密斯机,2025-09-07T09:32:47.554609
252,5,爬楼机,2025-10-12,27,324.3,134,158,拳击沙袋,2025-10-12T09:32:47.554609
253,5,游泳,2025-11-04,43,489.4,115,126,椭圆机,2025-11-04T09:32:47.554609
254,5,椭圆机,2025-09-19,113,1036.7,140,157,拳击沙袋,2025-09-19T09:32:47.554609
255,5,爬楼机,2025-09-30,58,575.1,150,169,跑步机,2025-09-30T09:32:47.554609
256,5,动感单车,2025-09-02,78,1020.8,126,138,史密斯机,2025-09-02T09:32:47.554609
257,5,力量训练,2025-10-13,94,717.1,136,159,哑铃,2025-10-13T09:32:47.554609
258,5,爬楼机,2025-08-28,20,202.4,147,157,哑铃,2025-08-28T09:32:47.554609
259,5,瑜伽,2025-06-09,89,339.1,142,152,拳击沙袋,2025-06-09T09:32:47.554609
260,5,椭圆机,2025-11-16,94,798.0,126,141,跑步机,2025-11-16T09:32:47.554609
261,5,动感单车,2025-06-06,30,331.1,148,172,史密斯机,2025-06-06T09:32:47.554609
262,5,游泳,2025-12-22,94,1041.5,145,175,划船机,2025-12-22T09:32:47.554609
263,5,椭圆机,2025-06-01,88,831.1,130,152,杠铃,2025-06-01T09:32:47.554609
264,5,力量训练,2026-01-19,85,745.7,148,163,跑步机,2026-01-19T09:32:47.554609
265,5,瑜伽,2025-08-05,33,131.9,118,142,拳击沙袋,2025-08-05T09:32:47.554609
266,5,爬楼机,2025-10-16,119,1252.3,146,165,划船机,2025-10-16T09:32:47.554609
267,5,游泳,2025-12-02,90,1082.2,146,156,杠铃,2025-12-02T09:32:47.554609
268,5,普拉提,2025-06-02,113,528.3,144,170,瑜伽垫,2025-06-02T09:32:47.554609
269,5,瑜伽,2025-09-12,65,240.5,114,126,杠铃,2025-09-12T09:32:47.554609
270,5,力量训练,2025-10-01,38,333.2,126,150,跑步机,2025-10-01T09:32:47.554609
271,5,力量训练,2025-07-08,45,328.3,126,138,杠铃,2025-07-08T09:32:47.554609
272,6,拳击,2026-01-09,71,999.8,121,144,动感单车,2026-01-09T09:32:47.554861
273,6,椭圆机,2025-09-29,44,427.1,146,169,动感单车,2025-09-29T09:32:47.554861
274,6,力量训练,2025-12-22,51,376.8,135,164,动感单车,2025-12-22T09:32:47.554861
275,6,动感单车,2026-01-01,39,433.8,126,144,动感单车,2026-01-01T09:32:47.554861
276,6,划船机,2025-11-22,44,432.0,125,142,哑铃,2025-11-22T09:32:47.554861
277,6,跑步,2025-12-30,120,1287.4,123,136,瑜伽垫,2025-12-30T09:32:47.554861
278,6,瑜伽,2025-12-30,32,118.8,120,131,椭圆机,2025-12-30T09:32:47.554861
279,6,力量训练,2025-11-05,70,610.4,126,139,瑜伽垫,2025-11-05T09:32:47.554861
280,6,爬楼机,2025-09-25,112,1275.2,144,154,拳击沙袋,2025-09-25T09:32:47.554861
281,6,跑步,2025-11-02,68,735.0,144,160,杠铃,2025-11-02T09:32:47.554861
282,6,动感单车,2025-11-09,90,1055.1,111,124,哑铃,2025-11-09T09:32:47.554861
283,6,爬楼机,2025-12-02,23,232.1,110,131,划船机,2025-12-02T09:32:47.554861
284,6,普拉提,2025-11-12,100,459.2,124,146,哑铃,2025-11-12T09:32:47.554861
285,6,划船机,2025-09-27,99,987.5,130,144,拳击沙袋,2025-09-27T09:32:47.554861
286,6,瑜伽,2025-10-18,30,114.7,143,161,龙门架,2025-10-18T09:32:47.554861
287,6,拳击,2025-12-18,32,416.8,146,169,哑铃,2025-12-18T09:32:47.554861
288,6,拳击,2025-10-27,46,564.1,148,177,椭圆机,2025-10-27T09:32:47.554861
289,6,划船机,2025-11-09,78,844.0,133,143,瑜伽垫,2025-11-09T09:32:47.554861
290,6,瑜伽,2026-01-07,53,208.6,125,139,史密斯机,2026-01-07T09:32:47.554861
